"","processname","processcode","startdatetime","objectname","stagecounts"
"1941","P23 - Queue Processor - Document Upload","P23",2019-10-04,"Blueprism.AutomateProcessCore.clsCollectionActions",30
"1942","P23 - Queue Processor - Document Upload","P23",2019-10-04,"Choose File to Upload",83
"1943","P23 - Queue Processor - Document Upload","P23",2019-10-04,"MS Excel VBO",5
"1944","P23 - Queue Processor - Document Upload","P23",2019-10-04,"MS Outlook Email VBO",1
"1945","P23 - Queue Processor - Document Upload","P23",2019-10-04,"Outlook",2
"1946","P23 - Queue Processor - Document Upload","P23",2019-10-04,"Sydney Student (Web)",410
"1947","P23 - Queue Processor - Document Upload","P23",2019-10-04,"Utility - Environment",33
"1948","P23 - Queue Processor - Document Upload","P23",2019-10-04,"Utility - File Management",87
"1949","P23 - Queue Processor - Document Upload","P23",2019-10-04,NA,931
"1950","P23 - Queue Processor - Document Upload","P23",2019-10-05,"Blueprism.Automate.clsCredentialsActions",1
"1951","P23 - Queue Processor - Document Upload","P23",2019-10-05,"Blueprism.Automate.clsWorkQueuesActions",3
"1952","P23 - Queue Processor - Document Upload","P23",2019-10-05,"MS Excel VBO",5
"1953","P23 - Queue Processor - Document Upload","P23",2019-10-05,"MS Outlook Email VBO",1
"1954","P23 - Queue Processor - Document Upload","P23",2019-10-05,"Outlook",2
"1955","P23 - Queue Processor - Document Upload","P23",2019-10-05,"Sydney Student (Web)",4
"1956","P23 - Queue Processor - Document Upload","P23",2019-10-05,"Utility - Environment",3
"1957","P23 - Queue Processor - Document Upload","P23",2019-10-05,"Utility - File Management",9
"1958","P23 - Queue Processor - Document Upload","P23",2019-10-05,NA,27
"1959","P23 - Queue Processor - Document Upload","P23",2019-10-06,"Blueprism.Automate.clsCredentialsActions",1
"1960","P23 - Queue Processor - Document Upload","P23",2019-10-06,"Blueprism.Automate.clsWorkQueuesActions",3
"1961","P23 - Queue Processor - Document Upload","P23",2019-10-06,"MS Excel VBO",5
"1962","P23 - Queue Processor - Document Upload","P23",2019-10-06,"MS Outlook Email VBO",1
"1963","P23 - Queue Processor - Document Upload","P23",2019-10-06,"Outlook",2
"1964","P23 - Queue Processor - Document Upload","P23",2019-10-06,"Sydney Student (Web)",4
"1965","P23 - Queue Processor - Document Upload","P23",2019-10-06,"Utility - Environment",3
"1966","P23 - Queue Processor - Document Upload","P23",2019-10-06,"Utility - File Management",9
"1967","P23 - Queue Processor - Document Upload","P23",2019-10-06,NA,27
"1968","P23 - Queue Processor - Document Upload","P23",2019-10-07,"Blueprism.Automate.clsCredentialsActions",1
"1969","P23 - Queue Processor - Document Upload","P23",2019-10-07,"Blueprism.Automate.clsWorkQueuesActions",3
"1970","P23 - Queue Processor - Document Upload","P23",2019-10-07,"MS Excel VBO",5
"1971","P23 - Queue Processor - Document Upload","P23",2019-10-07,"MS Outlook Email VBO",1
"1972","P23 - Queue Processor - Document Upload","P23",2019-10-07,"Outlook",2
"1973","P23 - Queue Processor - Document Upload","P23",2019-10-07,"Sydney Student (Web)",4
"1974","P23 - Queue Processor - Document Upload","P23",2019-10-07,"Utility - Environment",3
"1975","P23 - Queue Processor - Document Upload","P23",2019-10-07,"Utility - File Management",9
"1976","P23 - Queue Processor - Document Upload","P23",2019-10-07,NA,27
"1977","P23 - Queue Processor - Document Upload","P23",2019-10-08,"Blueprism.Automate.clsCredentialsActions",1
"1978","P23 - Queue Processor - Document Upload","P23",2019-10-08,"Blueprism.Automate.clsWorkQueuesActions",3
"1979","P23 - Queue Processor - Document Upload","P23",2019-10-08,"MS Excel VBO",5
"1980","P23 - Queue Processor - Document Upload","P23",2019-10-08,"MS Outlook Email VBO",1
"1981","P23 - Queue Processor - Document Upload","P23",2019-10-08,"Outlook",2
"1982","P23 - Queue Processor - Document Upload","P23",2019-10-08,"Sydney Student (Web)",4
"1983","P23 - Queue Processor - Document Upload","P23",2019-10-08,"Utility - Environment",3
"1984","P23 - Queue Processor - Document Upload","P23",2019-10-08,"Utility - File Management",9
"1985","P23 - Queue Processor - Document Upload","P23",2019-10-08,NA,27
"1986","P23 - Queue Processor - Document Upload","P23",2019-10-09,"Blueprism.Automate.clsCredentialsActions",23
"1987","P23 - Queue Processor - Document Upload","P23",2019-10-09,"Blueprism.Automate.clsWorkQueuesActions",119
"1988","P23 - Queue Processor - Document Upload","P23",2019-10-09,"Blueprism.AutomateProcessCore.clsCollectionActions",26
"1989","P23 - Queue Processor - Document Upload","P23",2019-10-09,"Choose File to Upload",51
"1990","P23 - Queue Processor - Document Upload","P23",2019-10-09,"MS Excel VBO",5
"1991","P23 - Queue Processor - Document Upload","P23",2019-10-09,"MS Outlook Email VBO",1
"1992","P23 - Queue Processor - Document Upload","P23",2019-10-09,"Outlook",2
"1993","P23 - Queue Processor - Document Upload","P23",2019-10-09,"Sydney Student (Web)",279
"1994","P23 - Queue Processor - Document Upload","P23",2019-10-09,"Utility - Environment",25
"1995","P23 - Queue Processor - Document Upload","P23",2019-10-09,"Utility - File Management",63
"1996","P23 - Queue Processor - Document Upload","P23",2019-10-09,NA,663
"1997","P23 - Queue Processor - Document Upload","P23",2019-10-10,"Blueprism.Automate.clsCredentialsActions",35
"1998","P23 - Queue Processor - Document Upload","P23",2019-10-10,"Blueprism.Automate.clsWorkQueuesActions",197
"1999","P23 - Queue Processor - Document Upload","P23",2019-10-10,"Blueprism.AutomateProcessCore.clsCollectionActions",34
"2000","P23 - Queue Processor - Document Upload","P23",2019-10-10,"Choose File to Upload",100
"2001","P23 - Queue Processor - Document Upload","P23",2019-10-10,"MS Excel VBO",5
"2002","P23 - Queue Processor - Document Upload","P23",2019-10-10,"MS Outlook Email VBO",1
"2003","P23 - Queue Processor - Document Upload","P23",2019-10-10,"Outlook",2
"2004","P23 - Queue Processor - Document Upload","P23",2019-10-10,"Sydney Student (Web)",495
"2005","P23 - Queue Processor - Document Upload","P23",2019-10-10,"Utility - Environment",37
"2006","P23 - Queue Processor - Document Upload","P23",2019-10-10,"Utility - File Management",105
"2007","P23 - Queue Processor - Document Upload","P23",2019-10-10,NA,1088
"2008","P23 - Queue Processor - Document Upload","P23",2019-10-11,"Blueprism.Automate.clsCredentialsActions",25
"2009","P23 - Queue Processor - Document Upload","P23",2019-10-11,"Blueprism.Automate.clsWorkQueuesActions",146
"2010","P23 - Queue Processor - Document Upload","P23",2019-10-11,"Blueprism.AutomateProcessCore.clsCollectionActions",28
"2011","P23 - Queue Processor - Document Upload","P23",2019-10-11,"Choose File to Upload",68
"2012","P23 - Queue Processor - Document Upload","P23",2019-10-11,"MS Excel VBO",5
"2013","P23 - Queue Processor - Document Upload","P23",2019-10-11,"MS Outlook Email VBO",1
"2014","P23 - Queue Processor - Document Upload","P23",2019-10-11,"Outlook",2
"2015","P23 - Queue Processor - Document Upload","P23",2019-10-11,"Sydney Student (Web)",350
"2016","P23 - Queue Processor - Document Upload","P23",2019-10-11,"Utility - Environment",27
"2017","P23 - Queue Processor - Document Upload","P23",2019-10-11,"Utility - File Management",78
"2018","P23 - Queue Processor - Document Upload","P23",2019-10-11,NA,804
"2019","P23 - Queue Processor - Document Upload","P23",2019-10-12,"Blueprism.Automate.clsCredentialsActions",10
"2020","P23 - Queue Processor - Document Upload","P23",2019-10-12,"Sydney Student (Web)",20
"2021","P23 - Queue Processor - Document Upload","P23",2019-10-12,"Utility - Environment",9
"2022","P23 - Queue Processor - Document Upload","P23",2019-10-12,NA,62
"2023","P23 - Queue Processor - Document Upload","P23",2019-10-13,"Blueprism.Automate.clsCredentialsActions",1
"2024","P23 - Queue Processor - Document Upload","P23",2019-10-13,"Blueprism.Automate.clsWorkQueuesActions",3
"2025","P23 - Queue Processor - Document Upload","P23",2019-10-13,"MS Excel VBO",5
"2026","P23 - Queue Processor - Document Upload","P23",2019-10-13,"MS Outlook Email VBO",1
"2027","P23 - Queue Processor - Document Upload","P23",2019-10-13,"Outlook",2
"2028","P23 - Queue Processor - Document Upload","P23",2019-10-13,"Sydney Student (Web)",4
"2029","P23 - Queue Processor - Document Upload","P23",2019-10-13,"Utility - Environment",3
"2030","P23 - Queue Processor - Document Upload","P23",2019-10-13,"Utility - File Management",9
"2031","P23 - Queue Processor - Document Upload","P23",2019-10-13,NA,27
"2032","P23 - Queue Processor - Document Upload","P23",2019-10-14,"Blueprism.Automate.clsCredentialsActions",1
"2033","P23 - Queue Processor - Document Upload","P23",2019-10-14,"Blueprism.Automate.clsWorkQueuesActions",3
"2034","P23 - Queue Processor - Document Upload","P23",2019-10-14,"MS Excel VBO",5
"2035","P23 - Queue Processor - Document Upload","P23",2019-10-14,"MS Outlook Email VBO",1
"2036","P23 - Queue Processor - Document Upload","P23",2019-10-14,"Outlook",2
"2037","P23 - Queue Processor - Document Upload","P23",2019-10-14,"Sydney Student (Web)",4
"2038","P23 - Queue Processor - Document Upload","P23",2019-10-14,"Utility - Environment",3
"2039","P23 - Queue Processor - Document Upload","P23",2019-10-14,"Utility - File Management",9
"2040","P23 - Queue Processor - Document Upload","P23",2019-10-14,NA,27
"2041","P23 - Queue Processor - Document Upload","P23",2019-10-15,"Blueprism.Automate.clsCredentialsActions",34
"2042","P23 - Queue Processor - Document Upload","P23",2019-10-15,"Blueprism.Automate.clsWorkQueuesActions",188
"2043","P23 - Queue Processor - Document Upload","P23",2019-10-15,"Blueprism.AutomateProcessCore.clsCollectionActions",35
"2044","P23 - Queue Processor - Document Upload","P23",2019-10-15,"Choose File to Upload",92
"2045","P23 - Queue Processor - Document Upload","P23",2019-10-15,"MS Excel VBO",5
"2046","P23 - Queue Processor - Document Upload","P23",2019-10-15,"MS Outlook Email VBO",1
"2047","P23 - Queue Processor - Document Upload","P23",2019-10-15,"Outlook",2
"2048","P23 - Queue Processor - Document Upload","P23",2019-10-15,"Sydney Student (Web)",462
"2049","P23 - Queue Processor - Document Upload","P23",2019-10-15,"Utility - Environment",36
"2050","P23 - Queue Processor - Document Upload","P23",2019-10-15,"Utility - File Management",99
"2051","P23 - Queue Processor - Document Upload","P23",2019-10-15,NA,1032
"2052","P23 - Queue Processor - Document Upload","P23",2019-10-16,"Blueprism.Automate.clsCredentialsActions",37
"2053","P23 - Queue Processor - Document Upload","P23",2019-10-16,"Blueprism.Automate.clsWorkQueuesActions",216
"2054","P23 - Queue Processor - Document Upload","P23",2019-10-16,"Blueprism.AutomateProcessCore.clsCollectionActions",49
"2055","P23 - Queue Processor - Document Upload","P23",2019-10-16,"Choose File to Upload",120
"2056","P23 - Queue Processor - Document Upload","P23",2019-10-16,"MS Excel VBO",5
"2057","P23 - Queue Processor - Document Upload","P23",2019-10-16,"MS Outlook Email VBO",1
"2058","P23 - Queue Processor - Document Upload","P23",2019-10-16,"Outlook",2
"2059","P23 - Queue Processor - Document Upload","P23",2019-10-16,"Sydney Student (Web)",527
"2060","P23 - Queue Processor - Document Upload","P23",2019-10-16,"Utility - Environment",39
"2061","P23 - Queue Processor - Document Upload","P23",2019-10-16,"Utility - File Management",108
"2062","P23 - Queue Processor - Document Upload","P23",2019-10-16,NA,1195
"2063","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-09-26,NA,12
"2064","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-09-27,"Blueprism.Automate.clsCredentialsActions",6
"2065","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-09-27,"Blueprism.Automate.clsWorkQueuesActions",5
"2066","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-09-27,"MS Excel VBO",4
"2067","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-09-27,"Outlook",2
"2068","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-09-27,"SITS",10
"2069","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-09-27,"Sydney Student (Web)",27
"2070","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-09-27,"Utility - Collection Manipulation",13
"2071","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-09-27,"Utility - Environment",6
"2072","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-09-27,NA,93
"2073","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-09-28,"Blueprism.Automate.clsCredentialsActions",2
"2074","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-09-28,"Blueprism.Automate.clsWorkQueuesActions",1
"2075","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-09-28,"Outlook",1
"2076","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-09-28,"SITS",5
"2077","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-09-28,"Sydney Student (Web)",8
"2078","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-09-28,"Utility - Environment",2
"2079","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-09-28,NA,31
"2080","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-09-29,"Blueprism.Automate.clsCredentialsActions",2
"2081","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-09-29,"Blueprism.Automate.clsWorkQueuesActions",1
"2082","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-09-29,"Outlook",1
"2083","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-09-29,"SITS",5
"2084","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-09-29,"Sydney Student (Web)",8
"2085","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-09-29,"Utility - Environment",2
"2086","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-09-29,NA,31
"2087","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-09-30,"Blueprism.Automate.clsCredentialsActions",2
"2088","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-09-30,"Blueprism.Automate.clsWorkQueuesActions",1
"2089","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-09-30,"Outlook",1
"2090","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-09-30,"SITS",5
"2091","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-09-30,"Sydney Student (Web)",8
"2092","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-09-30,"Utility - Environment",2
"2093","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-09-30,NA,31
"2094","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-01,"Blueprism.Automate.clsCredentialsActions",2
"2095","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-01,"Blueprism.Automate.clsWorkQueuesActions",1
"2096","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-01,"Outlook",1
"2097","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-01,"SITS",5
"2098","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-01,"Sydney Student (Web)",8
"2099","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-01,"Utility - Environment",2
"2100","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-01,NA,34
"2101","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-02,"Blueprism.Automate.clsCredentialsActions",2
"2102","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-02,"Blueprism.Automate.clsWorkQueuesActions",1
"2103","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-02,"Outlook",1
"2104","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-02,"SITS",5
"2105","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-02,"Sydney Student (Web)",8
"2106","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-02,"Utility - Environment",2
"2107","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-02,NA,31
"2108","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-03,"Blueprism.Automate.clsCredentialsActions",2
"2109","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-03,"Blueprism.Automate.clsWorkQueuesActions",1
"2110","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-03,"Outlook",1
"2111","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-03,"SITS",5
"2112","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-03,"Sydney Student (Web)",8
"2113","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-03,"Utility - Environment",2
"2114","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-03,NA,31
"2115","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-04,"Blueprism.Automate.clsCredentialsActions",2
"2116","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-04,"Blueprism.Automate.clsWorkQueuesActions",1
"2117","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-04,"Outlook",1
"2118","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-04,"SITS",5
"2119","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-04,"Sydney Student (Web)",8
"2120","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-04,"Utility - Environment",2
"2121","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-04,NA,31
"2122","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-05,"Blueprism.Automate.clsCredentialsActions",2
"2123","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-05,"Blueprism.Automate.clsWorkQueuesActions",1
"2124","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-05,"Outlook",1
"2125","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-05,"SITS",5
"2126","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-05,"Sydney Student (Web)",8
"2127","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-05,"Utility - Environment",2
"2128","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-05,NA,31
"2129","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-06,"Blueprism.Automate.clsCredentialsActions",2
"2130","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-06,"Blueprism.Automate.clsWorkQueuesActions",1
"2131","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-06,"Outlook",1
"2132","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-06,"SITS",5
"2133","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-06,"Sydney Student (Web)",8
"2134","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-06,"Utility - Environment",2
"2135","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-06,NA,34
"2136","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-07,"Blueprism.Automate.clsCredentialsActions",2
"2137","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-07,"Blueprism.Automate.clsWorkQueuesActions",1
"2138","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-07,"Outlook",1
"2139","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-07,"SITS",5
"2140","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-07,"Sydney Student (Web)",8
"2141","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-07,"Utility - Environment",2
"2142","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-07,NA,31
"2143","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-08,"Blueprism.Automate.clsCredentialsActions",5
"2144","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-08,"Blueprism.Automate.clsWorkQueuesActions",9
"2145","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-08,"Blueprism.AutomateProcessCore.clsCollectionActions",5
"2146","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-08,"MS Excel VBO",4
"2147","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-08,"Outlook",1
"2148","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-08,"SITS",62
"2149","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-08,"Sydney Student (Web)",84
"2150","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-08,"Utility - Collection Manipulation",15
"2151","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-08,"Utility - Environment",5
"2152","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-08,"Utility - Strings",3
"2153","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-08,NA,165
"2154","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-09,"Blueprism.Automate.clsCredentialsActions",4
"2155","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-09,"Blueprism.Automate.clsWorkQueuesActions",4
"2156","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-09,"MS Excel VBO",4
"2157","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-09,"Outlook",1
"2158","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-09,"SITS",5
"2159","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-09,"Sydney Student (Web)",19
"2160","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-09,"Utility - Collection Manipulation",13
"2161","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-09,"Utility - Environment",4
"2162","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-09,NA,62
"2163","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-10,"Blueprism.Automate.clsCredentialsActions",3
"2164","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-10,"Blueprism.Automate.clsWorkQueuesActions",4
"2165","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-10,"MS Excel VBO",6
"2166","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-10,"Outlook",1
"2167","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-10,"SITS",5
"2168","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-10,"Sydney Student (Web)",18
"2169","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-10,"Utility - Collection Manipulation",13
"2170","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-10,"Utility - Environment",4
"2171","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-10,NA,61
"2172","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-11,"Blueprism.Automate.clsCredentialsActions",3
"2173","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-11,"Blueprism.Automate.clsWorkQueuesActions",4
"2174","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-11,"MS Excel VBO",4
"2175","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-11,"Outlook",1
"2176","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-11,"SITS",5
"2177","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-11,"Sydney Student (Web)",18
"2178","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-11,"Utility - Collection Manipulation",13
"2179","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-11,"Utility - Environment",4
"2180","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-11,NA,62
"2181","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-12,"Outlook",1
"2182","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-12,"Utility - Environment",5
"2183","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-12,NA,238
"2184","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-13,"Blueprism.Automate.clsCredentialsActions",24
"2185","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-13,"Blueprism.Automate.clsWorkQueuesActions",4
"2186","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-13,"MS Excel VBO",4
"2187","P24 - SAS - Faculty Services Credit Restructuring (Applicants Credit Queue Processor)v2","P24",2019-10-13,"MS Outlook Email VBO",1
